comparison_method    close_recog_rate     medium_recog_rate    far_recog_rate       runtime              preprocess_method    preprocess_time
baseline             100.00 %             98.18 %              74.09 %              412.9261 ms          baseline             0.0000 ms
mueller2010          72.73 %              46.36 %              17.27 %              383.8626 ms          rank-list            906.2428 ms
mueller2013          97.27 %              73.64 %              27.27 %              1901.6542 ms         rank-list            933.9774 ms
schroff              97.27 %              71.36 %              27.27 %              844.6149 ms          rank-list            970.6812 ms
wartmann             96.36 %              69.09 %              27.27 %              3910.5453 ms         rank-list            931.6455 ms
kendall              96.82 %              72.27 %              26.82 %              3095.6014 ms         rank-list            937.6168 ms
weighted_kendall     84.55 %              48.18 %              18.18 %              2252.5254 ms         rank-list            1076.6654 ms
spearman             97.27 %              71.36 %              27.27 %              3224.5853 ms         rank-list            948.0693 ms
