comparison_method    close_recog_rate     medium_recog_rate    far_recog_rate       runtime              preprocess_method    preprocess_time
braycurtis           62.73 %              26.36 %              6.82 %               89.6970 ms           omitted              568.5553 ms
canberra             64.55 %              28.18 %              6.36 %               226.4786 ms          omitted              485.7978 ms
chebyshev            41.82 %              18.64 %              9.55 %               96.2278 ms           omitted              481.3194 ms
cityblock            63.18 %              26.82 %              6.36 %               70.0583 ms           omitted              495.6454 ms
cosine               78.64 %              43.64 %              18.64 %              269.7390 ms          omitted              494.9390 ms
euclidean            67.73 %              33.18 %              11.82 %              95.4915 ms           omitted              484.2031 ms
minkowski            67.73 %              33.18 %              11.82 %              96.7398 ms           omitted              540.2618 ms
sqeuclidean          67.73 %              33.18 %              11.82 %              84.4123 ms           omitted              556.4542 ms
