comparison_method    close_recog_rate     medium_recog_rate    far_recog_rate       runtime
braycurtis           84.09 %              48.64 %              15.00 %              90.5763 ms
canberra             63.64 %              34.09 %              13.18 %              252.6003 ms
chebyshev            46.82 %              24.55 %              8.18 %               88.2743 ms
cityblock            73.64 %              42.73 %              15.45 %              71.5648 ms
cosine               88.18 %              50.00 %              17.27 %              252.5036 ms
euclidean            78.64 %              44.09 %              18.64 %              97.4398 ms
minkowski            78.64 %              44.09 %              18.64 %              97.1270 ms
sqeuclidean          78.64 %              44.09 %              18.64 %              82.8739 ms
