comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),runtime (ms),alpha,beta,preprocess_method,preprocess_time (ms)
wartmann,96.36,70.00,28.64,5404.5850,2.0,2.75,rank-list,1138.1619
wartmann,96.36,,,5411.8923,2.0,3.0,rank-list,1134.2904
wartmann,96.36,70.00,,5396.0785,2.0,3.0,rank-list,1135.7726
wartmann,96.36,70.00,28.64,5384.3817,2.0,3.0,rank-list,1138.0159
wartmann,97.73,,,5441.7889,2.25,1.25,rank-list,1143.1795
wartmann,97.73,70.00,,5442.7567,2.25,1.25,rank-list,1138.0886
wartmann,97.73,70.00,25.00,5322.6526,2.25,1.25,rank-list,1137.1841
wartmann,97.27,,,5358.0604,2.25,1.5,rank-list,1043.2898
wartmann,97.27,70.00,,5423.0356,2.25,1.5,rank-list,1096.1177
wartmann,97.27,70.00,25.45,5433.8503,2.25,1.5,rank-list,1112.6909
wartmann,97.27,,,5296.4897,2.25,1.75,rank-list,1146.0294
wartmann,97.27,69.09,,5360.6261,2.25,1.75,rank-list,1151.9679
wartmann,97.27,69.09,26.36,5376.4969,2.25,1.75,rank-list,1137.2028
wartmann,96.36,,,5024.8900,2.25,2.0,rank-list,1146.9371
wartmann,96.36,69.55,,5084.8579,2.25,2.0,rank-list,1100.4676
wartmann,96.36,69.55,27.73,5004.3509,2.25,2.0,rank-list,1102.9263
wartmann,96.36,,,5368.2366,2.25,2.5,rank-list,1070.3727
wartmann,96.36,69.55,,5486.3740,2.25,2.5,rank-list,1133.0914
wartmann,96.36,69.55,28.18,5505.0015,2.25,2.5,rank-list,1143.6144
wartmann,96.82,,,5516.3820,2.25,2.75,rank-list,1164.7732
wartmann,96.82,69.55,,5489.7041,2.25,2.75,rank-list,1157.4319
wartmann,96.82,69.55,27.73,5488.3878,2.25,2.75,rank-list,1153.2019
wartmann,96.36,,,5445.8221,2.25,3.0,rank-list,1138.2919
wartmann,96.36,69.55,,5420.9348,2.25,3.0,rank-list,1142.4966
wartmann,96.36,69.55,27.27,5406.0651,2.25,3.0,rank-list,1140.8280
wartmann,96.82,,,5348.5473,2.5,1.25,rank-list,1139.1272
wartmann,96.82,68.64,,5355.5173,2.5,1.25,rank-list,1138.3932
wartmann,96.82,68.64,24.09,5393.2054,2.5,1.25,rank-list,1137.3557
wartmann,96.82,,,5432.8118,2.5,1.5,rank-list,1137.6687
wartmann,96.82,68.18,,5445.6493,2.5,1.5,rank-list,1137.3064
wartmann,96.82,68.18,25.00,5395.1044,2.5,1.5,rank-list,1137.0992
wartmann,96.36,,,5284.0798,2.5,1.75,rank-list,1099.1575
wartmann,96.36,67.73,,5319.7437,2.5,1.75,rank-list,1099.4790
wartmann,96.36,67.73,25.00,5365.8077,2.5,1.75,rank-list,1110.6404
wartmann,96.36,,,5252.9093,2.5,2.0,rank-list,1137.7035
wartmann,96.36,67.27,,5228.3543,2.5,2.0,rank-list,1139.4413
wartmann,96.36,67.27,26.36,5113.6923,2.5,2.0,rank-list,1130.7671
wartmann,96.36,,,5346.6296,2.5,2.25,rank-list,1040.5709
wartmann,96.36,67.73,,5437.1188,2.5,2.25,rank-list,1105.1110
wartmann,96.36,67.73,26.36,5435.9104,2.5,2.25,rank-list,1120.5067
wartmann,96.82,,,5295.0903,2.5,2.75,rank-list,1140.7016
wartmann,96.82,66.82,,5285.5848,2.5,2.75,rank-list,1130.5645
wartmann,96.82,66.82,26.36,5270.2212,2.5,2.75,rank-list,1120.9038
wartmann,96.36,,,5265.5653,2.5,3.0,rank-list,1118.4153
wartmann,96.36,66.82,,5322.7570,2.5,3.0,rank-list,1111.4064
wartmann,96.36,66.82,27.73,5263.4742,2.5,3.0,rank-list,1139.8252
wartmann,96.82,,,5276.1492,2.75,1.25,rank-list,1052.4206
wartmann,96.82,67.27,,5378.1344,2.75,1.25,rank-list,1109.8058
wartmann,96.82,67.27,24.09,5429.6129,2.75,1.25,rank-list,1123.1833
wartmann,96.36,,,5157.5868,2.75,1.5,rank-list,1148.6586
wartmann,96.36,67.27,,5228.4167,2.75,1.5,rank-list,1101.3321
wartmann,96.36,67.27,25.91,5160.5833,2.75,1.5,rank-list,1109.5765
wartmann,96.36,,,5370.5073,2.75,1.75,rank-list,1050.3928
wartmann,96.36,67.73,,5276.0355,2.75,1.75,rank-list,1107.9672
wartmann,96.36,67.73,26.36,5249.3542,2.75,1.75,rank-list,1093.3011
wartmann,96.36,,,5205.4672,2.75,2.0,rank-list,1129.3048
wartmann,96.36,66.36,,5218.5567,2.75,2.0,rank-list,1137.9455
wartmann,96.36,66.36,27.27,5194.0095,2.75,2.0,rank-list,1137.5002
wartmann,96.36,,,5259.1870,2.75,2.25,rank-list,1104.5097
wartmann,96.36,66.36,,5281.7676,2.75,2.25,rank-list,1116.9359
wartmann,96.36,66.36,26.82,5309.5979,2.75,2.25,rank-list,1127.5419
wartmann,96.82,,,5486.5696,2.75,2.5,rank-list,1145.7804
wartmann,96.82,66.36,,5514.3208,2.75,2.5,rank-list,1172.3473
wartmann,96.82,66.36,26.36,5480.7001,2.75,2.5,rank-list,1168.3839
wartmann,96.36,,,5467.4901,2.75,3.0,rank-list,1177.8480
wartmann,96.36,66.36,,5460.0011,2.75,3.0,rank-list,1162.9579
wartmann,96.36,66.36,27.73,5464.7901,2.75,3.0,rank-list,1158.9489
wartmann,96.36,,,5464.0505,3.0,1.25,rank-list,1145.4400
wartmann,96.36,66.36,,5437.9150,3.0,1.25,rank-list,1148.3488
wartmann,96.36,66.36,25.91,5455.0236,3.0,1.25,rank-list,1148.5648
wartmann,96.36,,,5377.4686,3.0,1.5,rank-list,1133.7610
wartmann,96.36,65.45,,5413.2973,3.0,1.5,rank-list,1135.5563
wartmann,96.36,65.45,27.27,5400.6393,3.0,1.5,rank-list,1136.5324
wartmann,96.36,,,5389.5431,3.0,1.75,rank-list,1140.6133
wartmann,96.36,65.45,,5415.2544,3.0,1.75,rank-list,1136.7951
wartmann,96.36,65.45,28.18,5346.1525,3.0,1.75,rank-list,1136.4890
wartmann,96.36,,,5169.2592,3.0,2.0,rank-list,1102.8736
wartmann,96.36,65.00,,5175.7344,3.0,2.0,rank-list,1112.8135
wartmann,96.36,65.00,26.36,5059.1626,3.0,2.0,rank-list,1113.1003
wartmann,96.36,,,4985.9085,3.0,2.25,rank-list,1047.7451
wartmann,96.36,65.00,,5026.8765,3.0,2.25,rank-list,1068.5276
wartmann,96.36,65.00,26.36,5127.9293,3.0,2.25,rank-list,1083.9195
wartmann,96.36,,,5315.3241,3.0,2.5,rank-list,1140.7048
wartmann,96.36,65.91,,5323.6703,3.0,2.5,rank-list,1139.9108
wartmann,96.36,65.91,26.36,5321.2946,3.0,2.5,rank-list,1141.7027
wartmann,96.36,,,5334.2564,3.0,2.75,rank-list,1136.6024
wartmann,96.36,65.91,,5372.5008,3.0,2.75,rank-list,1123.0079
wartmann,96.36,65.91,26.36,5417.3668,3.0,2.75,rank-list,1140.4384
