comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,71.82,33.64,13.64,4.2,subtract_mean
minkowski,70.91,,,4.3,subtract_mean
minkowski,70.91,33.64,,4.3,subtract_mean
minkowski,70.91,33.64,13.64,4.3,subtract_mean
minkowski,70,,,4.4,subtract_mean
minkowski,70,32.73,,4.4,subtract_mean
minkowski,70,32.73,13.64,4.4,subtract_mean
minkowski,69.55,,,4.5,subtract_mean
minkowski,69.55,33.18,,4.5,subtract_mean
minkowski,69.55,33.18,13.64,4.5,subtract_mean
minkowski,69.55,,,4.6,subtract_mean
minkowski,69.55,32.27,,4.6,subtract_mean
minkowski,69.55,32.27,13.18,4.6,subtract_mean
minkowski,68.64,,,4.7,subtract_mean
minkowski,68.64,31.82,,4.7,subtract_mean
minkowski,68.64,31.82,12.73,4.7,subtract_mean
minkowski,68.18,,,4.8,subtract_mean
minkowski,68.18,31.82,,4.8,subtract_mean
minkowski,68.18,31.82,12.73,4.8,subtract_mean
minkowski,68.18,,,4.9,subtract_mean
minkowski,68.18,31.82,,4.9,subtract_mean
minkowski,68.18,31.82,12.73,4.9,subtract_mean
minkowski,67.73,,,5,subtract_mean
minkowski,67.73,30.91,,5,subtract_mean
minkowski,67.73,30.91,12.73,5,subtract_mean
